Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price,Transmission(Speed)
Volkswagen,Ameo,2017,silver,sedan,44611.0,1,5,diesel,45,1.5L TDI Engine,1498,Automatic,109.0,250.0,21.66,BS IV,657000,7
Hyundai,i20 Active,2016,red,crossover,20305.0,1,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,Manual,82.0,115.0,17.19,BS V,682000,5
Honda,WR-V,2019,white,suv,29540.0,2,5,petrol,40,i-VTEC Petrol engine,1199,Manual,88.5,110.0,16.5,BS IV,793000,5
Renault,Kwid,2017,bronze,hatchback,35680.0,1,5,petrol,28,1.0L,999,Manual,67.0,91.0,21.7,BS IV,414000,5
Hyundai,Grand i10,2017,orange,hatchback,25126.0,1,5,petrol,43,Kappa VTVT Petrol Engine,1197,Manual,81.86,113.75,18.9,BS V,515000,5
Hyundai,Elite i20,2016,red,hatchback,52261.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,604000,5
Honda,Brio,2012,grey,hatchback,28108.0,2,5,petrol,35,4 cylinder inline petrol,1198,Manual,86.8,109.0,19.4,BS III,316000,5
Tata,Harrier,2019,grey,suv,92603.0,1,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,Automatic,138.0,350.0,17.0,BS IV,1419000,6
Hyundai,Grand i10 Nios,2021,blue,hatchback,16304.0,1,5,petrol,37,1.2 L Kappa Petrol,1197,Manual,81.86,113.75,20.07,BS IV,710000,5
Renault,Kwid,2019,bronze,hatchback,26350.0,2,5,petrol,28,Petrol Engine,999,Manual,67.0,91.0,22.0,BS IV,392000,5
Renault,Triber,2020,yellow,muv,35400.0,1,7,petrol,40,1.0L Petrol Engine,999,Manual,71.0,96.0,20.0,BS IV,613000,5
Chevrolet,Cruze,2013,white,sedan,71450.0,1,5,diesel,60,VCDi 16V SOHC,1991,Automatic,164.0,380.0,17.0,BS IV,598000,6
Hyundai,Venue,2019,grey,suv,32395.0,1,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,Automatic,118.35,171.6,18.15,BS V,969000,7
Maruti Suzuki,Swift,2019,white,hatchback,31994.0,1,5,petrol,37,VTVT Engine,1197,Manual,81.8,113.0,21.21,BS IV,666000,5
Tata,Punch,2022,beige,suv,3174.0,1,5,petrol,37,1.2 Revotron,1199,Manual,84.0,113.0,18.9,BS IV,858000,5
Renault,Duster,2017,orange,suv,70137.0,1,5,diesel,50,dCi THP Diesel Engine,1461,Automatic,108.45,245.0,19.6,BS V,860000,6
Toyota,Yaris,2018,white,sedan,35913.0,2,5,petrol,42,1.5 Dual VVT-i Engine,1496,Automatic,105.94,140.0,17.18,BS IV,680000,6
Hyundai,Elite i20,2018,blue,hatchback,19056.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,82.85,113.7,18.6,BS V,625000,5
Volkswagen,Ameo,2017,brown,sedan,32492.0,1,5,petrol,45,MPI Petrol Engine,1198,Manual,73.75,110.0,17.0,BS V,567000,5
Maruti Suzuki,Celerio,2014,yellow,hatchback,22598.0,1,5,petrol,35,K10B,998,Manual,67.04,90.0,23.1,BS IV,371000,5
Hyundai,Creta,2019,grey,suv,85981.0,1,5,diesel,55,U2 VGT CRDi,1582,Automatic,126.0,260.0,15.8,BS V,1076000,6
Toyota,Etios Liva,2017,blue,hatchback,17791.0,1,5,petrol,45,"4-Cylinder 16V, DOHC",1197,Manual,79.0,104.0,18.16,BS V,587000,5
Hyundai,i10,2016,white,hatchback,26910.0,2,5,petrol,35,DOHC Kappa2 Engine,1197,Manual,78.9,111.8,20.36,BS III,396000,5
Maruti Suzuki,Swift Dzire,2014,blue,sedan,28562.0,1,5,petrol,42,K Series VVT Engine,1197,Manual,85.8,114.0,19.1,BS IV,554000,5
Hyundai,Verna,2019,white,sedan,40345.0,1,5,petrol,43,Front Wheel Drive,1591,Automatic,121.0,158.0,17.4,BS V,984000,6
Maruti Suzuki,Celerio,2019,grey,hatchback,19550.0,1,5,petrol,35,K10B,998,Manual,67.04,90.0,23.1,BS IV,507000,5
Hyundai,Elite i20,2017,red,hatchback,54233.0,1,5,petrol,45,Kappa VTVT Petrol Engine,1197,Manual,81.83,114.7,18.6,BS IV,586000,5
Maruti Suzuki,Baleno,2017,blue,hatchback,33113.0,1,5,petrol,37,1.2L VVT Engine,1197,Manual,81.8,113.0,21.01,BS V,639000,5
